State,Chance
alabama,0.4
alaska,16.7
arizona,27.5
arkansas,2.1
california,99.2
colorado,64.8
connecticut,91.3
delaware,82.4
district of columbia,99.6
florida,47.7
georgia,21.6
hawaii,98.7
idaho,1.0
illinois,94.3
indiana,5.3
iowa,36.0
kansas,7.8
kentucky,2.0
louisiana,1.9
maine,73.7
maryland,99.5
massachusetts,97.9
michigan,70.6
minnesota,75.8
mississippi,3.2
missouri,11.3
montana,13.6
nebraska,4.2
nevada,50.1
new hampshire,62.6
new jersey,85.9
new mexico,78.6
new york,97.9
north carolina,45.0
north dakota,4.5
ohio,42.4
oklahoma,0.7
oregon,80.0
pennsylvania,70.0
rhode island,80.3
south carolina,8.7
south dakota,9.2
tennessee,1.1
texas,8.5
utah,2.7
vermont,94.8
virginia,75.1
washington,92.7
west virginia,1.8
wisconsin,70.6
wyoming,1.7